,mean_abs_shap
area_sqm,0.22954807203508548
district_grouped_te,0.12342760171314954
metro_grouped_te,0.08879455402795178
repair_type_design,0.06698263273670746
build_year,0.0500308160303683
rooms,0.04212254240751112
floors_total,0.02510848327538578
repair_type_cosmetic,0.017135870081989444
is_agent,0.01516140668933929
build_year_missing,0.01500826107243899
repair_type_euro,0.014955154241002987
living_area_sqm,0.013895517082468476
kitchen_area_sqm,0.010169815079667806
floor,0.009125867659637766
metro_time_min,0.008429815544023965
living_area_sqm_missing,0.006896949542701866
repair_type_no,0.005044498105874388
house_material_Панельный,0.0049983976442224565
repair_type_unknown,0.003486717440284991
house_material_unknown,0.0031696102201837586
kitchen_area_sqm_missing,0.0014389497975302332
house_material_Кирпичный,0.0012916158490439097
house_material_Монолитный,0.00119079269583959
prepay_months,0.0009869964625592378
prepay_months_missing,0.0009811402683514144
house_material_Блочный,0.00020454009720646308
house_material_Монолитно кирпичный,5.412691410164313e-05
rooms_was_missing,0.0
